week,MRSA,VRSA,Other,Wild
2024-01-01,12,1,4,91
2024-01-08,8,2,7,112
2024-01-15,12,0,10,129
2024-01-22,20,0,6,98
2024-01-29,8,0,8,97
2024-02-05,24,0,11,89
2024-02-12,14,0,10,101
2024-02-19,10,0,12,104
2024-02-26,15,1,9,112
2024-03-04,6,1,8,102
2024-03-11,20,1,19,108
2024-03-18,17,1,34,101
2024-03-25,7,0,7,79
2024-04-01,11,0,5,87
2024-04-08,18,0,14,80
2024-04-15,8,2,8,110
2024-04-22,17,1,8,102
2024-04-29,12,0,4,87
2024-05-06,6,1,7,93
2024-05-13,16,1,7,87
2024-05-20,21,0,12,76
2024-05-27,20,0,10,86
2024-06-03,13,0,9,91
2024-06-10,14,0,10,74
2024-06-17,9,0,4,85
2024-06-24,11,0,8,104
2024-07-01,17,0,9,101
2024-07-08,9,0,13,119
2024-07-15,10,0,8,122
2024-07-22,13,0,9,94
2024-07-29,14,0,10,99
2024-08-05,23,0,7,105
2024-08-12,22,0,17,99
2024-08-19,14,0,7,88
2024-08-26,7,0,5,108
2024-09-02,18,1,4,73
2024-09-09,9,3,6,117
2024-09-16,20,1,5,93
2024-09-23,24,0,7,116
2024-09-30,16,0,11,98
2024-10-07,17,0,6,101
2024-10-14,10,0,8,100
2024-10-21,13,0,10,95
2024-10-28,20,0,7,82
2024-11-04,23,0,10,85
2024-11-11,9,0,7,85
2024-11-18,17,0,5,71
2024-11-25,19,0,7,92
2024-12-02,14,0,2,85
2024-12-09,12,0,7,89
2024-12-16,29,0,6,99
2024-12-23,14,0,2,61
2024-12-30,8,1,2,24
